Date,Item/Description,Amount,Mode,Remarks,Monthss,Paid/Unpaid,Paid By,Payment Date,Category,ID,Adv Check,PnL Category,PnL Type,Check,,,,,,,,Check
26/01/2025,Momos,420,Cash,,01-2025,Paid,Sameer,,Inventory,0074,,COGS - Inventory,Expense,0,,,,,,,,TRUE
26/01/2025,Sales,320,UPI,,01-2025,,,,Sales,0075,,Revenue,Income,0,,,,,,,,TRUE
26/01/2025,Electric Work,185,Cash,,01-2025,Paid,Sameer,,Maintance,0076,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
26/01/2025,Tea,96,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0077,,OpEx - Labor,Expense,0,,,,,,,,TRUE
26/01/2025,Beverages,40,Cash,Soda,01-2025,Paid,Sameer,,Grocery,0078,,COGS - Grocery,Expense,0,,,,,,,,TRUE
26/01/2025,Dairy,40,Cash,Milk,01-2025,Paid,Sameer,,Inventory,0079,,COGS - Dairy,Expense,0,,,,,,,,TRUE
27/01/2025,Sales,15670,Wallet,,01-2025,,,,Sales,0080,,Revenue,Income,0,,,,,,,,TRUE
27/01/2025,Chicken,3997,Bank,,01-2025,Paid,Sameer,,Inventory,0081,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
27/01/2025,Sales,2540,Cash,,01-2025,,,,Sales,0082,,Revenue,Income,0,,,,,,,,TRUE
27/01/2025,Sales,1500,Card,,01-2025,,,,Sales,0083,,Revenue,Income,0,,,,,,,,TRUE
27/01/2025,Dairy,1135,Bank,,01-2025,Paid,Sameer,,Inventory,0084,,COGS - Dairy,Expense,0,,,,,,,,TRUE
27/01/2025,Charcoal,840,Bank,,01-2025,Paid,Sameer,,Inventory,0085,,COGS - Fuel,Expense,0,,,,,,,,TRUE
27/01/2025,Sales,780,Zomato Pay,,01-2025,,,,Sales,0086,,Revenue,Income,0,,,,,,,,TRUE
27/01/2025,Sales,686,Online Sale,,01-2025,,,,Sales,0087,,Revenue,Income,0,,,,,,,,TRUE
27/01/2025,Dairy,650,Cash,Soya Chaap ,01-2025,Paid,Sameer,,Inventory,0088,,COGS - Dairy,Expense,0,,,,,,,,TRUE
27/01/2025,Sales,614,UPI,,01-2025,,,,Sales,0089,,Revenue,Income,0,,,,,,,,TRUE
27/01/2025,Vegetables,526,Bank,,01-2025,Paid,Sameer,,Inventory,0090,,COGS - Veg,Expense,0,,,,,,,,TRUE
27/01/2025,Civil Work,450,Cash,Cement,01-2025,Paid,Sameer,,Maintance,0091,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
27/01/2025,Tea,125,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0092,,OpEx - Labor,Expense,0,,,,,,,,TRUE
27/01/2025,Vegetables,35,Cash,Mint,01-2025,Paid,Sameer,,Inventory,0093,,COGS - Veg,Expense,0,,,,,,,,TRUE
27/01/2025,Kinners,30,Cash,,01-2025,Paid,Sameer,,Maintance,0094,,OpEx - Misc,Expense,0,,,,,,,,TRUE
28/01/2025,Sales,13162,Wallet,,01-2025,,,,Sales,0095,,Revenue,Income,0,,,,,,,,TRUE
28/01/2025,Grocery,4708,Bank,,01-2025,Paid,Sameer,,Inventory,0096,,COGS - Grocery,Expense,0,,,,,,,,TRUE
28/01/2025,Chicken,4204,Bank,,01-2025,Paid,Sameer,,Inventory,0097,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
28/01/2025,Sales,2415,Cash,,01-2025,,,,Sales,0098,,Revenue,Income,0,,,,,,,,TRUE
28/01/2025,Sales,1570,Card,,01-2025,,,,Sales,0099,,Revenue,Income,0,,,,,,,,TRUE
28/01/2025,Dairy,1533,Bank,,01-2025,Paid,Sameer,,Inventory,0100,,COGS - Dairy,Expense,0,,,,,,,,TRUE
28/01/2025,Dairy,802,Cash,egg,01-2025,Paid,Sameer,,Inventory,0101,,COGS - Dairy,Expense,0,,,,,,,,TRUE
28/01/2025,Sales,602,Online Sale,,01-2025,,,,Sales,0102,,Revenue,Income,0,,,,,,,,TRUE
28/01/2025,Sales,585,Zomato Pay,,01-2025,,,,Sales,0103,,Revenue,Income,0,,,,,,,,TRUE
28/01/2025,Vegetables,519,Bank,,01-2025,Paid,Sameer,,Inventory,0104,,COGS - Veg,Expense,0,,,,,,,,TRUE
28/01/2025,Restaurant New Inventory,350,Cash,,01-2025,Paid,Sameer,,New Inventory,0105,,OpEx - CapEx,Expense,0,,,,,,,,TRUE
28/01/2025,Tea,100,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0106,,OpEx - Labor,Expense,0,,,,,,,,TRUE
28/01/2025,Beverages,40,Cash,Soda,01-2025,Paid,Sameer,,Grocery,0107,,COGS - Grocery,Expense,0,,,,,,,,TRUE
28/01/2025,Kinners,23,Cash,,01-2025,Paid,Sameer,,Maintance,0108,,OpEx - Misc,Expense,0,,,,,,,,TRUE
29/01/2025,Sales,9785,Wallet,,01-2025,,,,Sales,0109,,Revenue,Income,0,,,,,,,,TRUE
29/01/2025,Restaurant New Inventory,7428,Bank,,01-2025,Paid,Sameer,,New Inventory,0110,,OpEx - CapEx,Expense,0,,,,,,,,TRUE
29/01/2025,Sales,3160,UPI,,01-2025,,,,Sales,0111,,Revenue,Income,0,,,,,,,,TRUE
29/01/2025,Sales,2710,Cash,,01-2025,,,,Sales,0112,,Revenue,Income,0,,,,,,,,TRUE
29/01/2025,Sales,1772,Online Sale,,01-2025,,,,Sales,0113,,Revenue,Income,0,,,,,,,,TRUE
29/01/2025,Charcoal,1680,Bank,,01-2025,Paid,Sameer,,Inventory,0114,,COGS - Fuel,Expense,0,,,,,,,,TRUE
29/01/2025,Beverages,1200,Cash,Cold Drinks,01-2025,Paid,Sameer,,Grocery,0115,,COGS - Grocery,Expense,0,,,,,,,,TRUE
29/01/2025,Beverages,1200,Cash,Water Bottel,01-2025,Paid,Sameer,,Grocery,0116,,COGS - Grocery,Expense,0,,,,,,,,TRUE
29/01/2025,Vegetables,467,Bank,,01-2025,Paid,Sameer,,Inventory,0117,,COGS - Veg,Expense,0,,,,,,,,TRUE
29/01/2025,Tea,210,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0118,,OpEx - Labor,Expense,0,,,,,,,,TRUE
29/01/2025,Dairy,201,Bank,,01-2025,Paid,Sameer,,Inventory,0119,,COGS - Dairy,Expense,0,,,,,,,,TRUE
29/01/2025,Petrol,100,Bank_Cash,,01-2025,Paid,Sameer,,Bike Maintance,0120,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
29/01/2025,Vegetables,30,Cash,Mint,01-2025,Paid,Sameer,,Inventory,0121,,COGS - Veg,Expense,0,,,,,,,,TRUE
29/01/2025,Kinners,20,Cash,,01-2025,Paid,Sameer,,Maintance,0122,,OpEx - Misc,Expense,0,,,,,,,,TRUE
30/01/2025,Sales,11791,Wallet,,01-2025,,,,Sales,0123,,Revenue,Income,0,,,,,,,,TRUE
30/01/2025,Police,8500,Bank,,01-2025,Paid,Sameer,,Fixed Maintance,0124,,OpEx - Fixed,Expense,0,,,,,,,,TRUE
30/01/2025,Chicken,6170,Bank,,01-2025,Paid,Sameer,,Inventory,0125,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
30/01/2025,Grocery,3181,Bank,,01-2025,Paid,Sameer,,Inventory,0126,,COGS - Grocery,Expense,0,,,,,,,,TRUE
30/01/2025,Sales,2930,UPI,,01-2025,,,,Sales,0127,,Revenue,Income,0,,,,,,,,TRUE
30/01/2025,Advance,2000,Bank_Cash,Naseem Bhai Salary,01-2025,Paid,Sameer,,Salary,0128,,OpEx - Labor,Expense,0,,,,,,,,TRUE
30/01/2025,Sales,1700,Cash,,01-2025,,,,Sales,0129,,Revenue,Income,0,,,,,,,,TRUE
30/01/2025,Sales,989,Online Sale,,01-2025,,,,Sales,0130,,Revenue,Income,0,,,,,,,,TRUE
30/01/2025,Dairy,848,Bank,,01-2025,Paid,Sameer,,Inventory,0131,,COGS - Dairy,Expense,0,,,,,,,,TRUE
30/01/2025,Sales,530,Card,,01-2025,,,,Sales,0132,,Revenue,Income,0,,,,,,,,TRUE
30/01/2025,Sales,500,Zomato Pay,,01-2025,,,,Sales,0133,,Revenue,Income,0,,,,,,,,TRUE
30/01/2025,Vegetables,495,Bank,,01-2025,Paid,Sameer,,Inventory,0134,,COGS - Veg,Expense,0,,,,,,,,TRUE
30/01/2025,Tea,100,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0135,,OpEx - Labor,Expense,0,,,,,,,,TRUE
31/01/2025,Sales,19723,Wallet,,01-2025,,,,Sales,0136,,Revenue,Income,0,,,,,,,,TRUE
31/01/2025,Restaurant New Inventory,16800,Bank,,01-2025,Paid,Sameer,,New Inventory,0137,,OpEx - CapEx,Expense,0,,,,,,,,TRUE
31/01/2025,Chicken,5930,Bank,,01-2025,Paid,Sameer,,Inventory,0138,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
31/01/2025,Grocery,3216,Bank,,01-2025,Paid,Sameer,,Inventory,0139,,COGS - Grocery,Expense,0,,,,,,,,TRUE
31/01/2025,Sales,2060,Online Sale,,01-2025,,,,Sales,0140,,Revenue,Income,0,,,,,,,,TRUE
31/01/2025,Sales,1840,Cash,,01-2025,,,,Sales,0141,,Revenue,Income,0,,,,,,,,TRUE
31/01/2025,Dairy,1741,Bank,,01-2025,Paid,Sameer,,Inventory,0142,,COGS - Dairy,Expense,0,,,,,,,,TRUE
31/01/2025,Garbage Vehicle,1500,Bank_Cash,,01-2025,Paid,Sameer,,Fixed Maintance,0143,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
31/01/2025,Sales,1395,Card,,01-2025,,,,Sales,0144,,Revenue,Income,0,,,,,,,,TRUE
31/01/2025,Vegetables,599,Bank,,01-2025,Paid,Sameer,,Inventory,0145,,COGS - Veg,Expense,0,,,,,,,,TRUE
31/01/2025,Bakery,455,Cash,,01-2025,Paid,Sameer,,Grocery,0146,,COGS - Grocery,Expense,0,,,,,,,,TRUE
31/01/2025,Sales,210,Due,,01-2025,,,,Sales,0147,,Revenue,Income,0,,,,,,,,TRUE
31/01/2025,Sales,150,UPI,,01-2025,,,,Sales,0148,,Revenue,Income,0,,,,,,,,TRUE
31/01/2025,Tea,100,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0149,,OpEx - Labor,Expense,0,,,,,,,,TRUE
